label,x,y,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,feature 16,location
50,1173,313,83,117.273923103871,111.346648856812,48,63,74,99,154,186,0,0.032258064516129,0.193548387096774,0.32258064516129,1280.79900193507,569.651178020301,324502.464619917,nuc
98,2589,598,59,144.348964733588,144.286030989045,44,51,55,69,110,142,0,0.046511627906977,0.348837209302326,0.604651162790698,1733.664596389,690.889897003055,477328.849780892,nuc
41,1085,2262,75,143.022971565834,129.961000179573,49,65,76,100,144,180,0,0.038461538461538,0.173076923076923,0.365384615384615,1271.77586633373,571.131895662018,326191.64224249,nuc
19,538,1979,43,138.642742796479,137.515983331052,29,57,60,86,119,143,0,0.065217391304348,0.217391304347826,0.521739130434783,1228.68584020187,604.658004396635,365611.302280922,cyto
52,1361,1951,70,139.512931340871,176.962006040414,32,43,53,73,119,146,0.027027027027027,0.099099099099099,0.279279279279279,0.504504504504504,1108.2917127181,486.233432185716,236422.950575102,cyto
7,15,606,16,149.134129341149,176.621266930122,32,38,56,70,109,143,0.03030303030303,0.106060606060606,0.333333333333333,0.590909090909091,1534.2830793518,685.214372051661,469518.735666152,cyto
47,1166,1112,11,136.614286314262,113.762655902272,29,35,46,59,86,111,0.014925373134328,0.134328358208955,0.432835820895522,0.91044776119403,939.32469521385,389.315252273683,151566.365652921,cyto
18,422,1878,39,66.4996530238286,42.8769813533799,41,47,62,76,106,127,0.009345794392523,0.046728971962617,0.289719626168224,0.607476635514019,1237.4571383234,614.435989710596,377531.58545164,nuc
50,1266,530,78,118.86742082876,126.245620517279,44,55,66,79,114,152,0,0.024193548387097,0.258064516129032,0.532258064516129,1150.15320267932,520.546682735893,270968.848907342,nuc
19,342,1953,1,152.526106387945,155.128349492565,39,53,56,74,93,115,0.021739130434783,0.054347826086957,0.380434782608696,0.815217391304348,1311.78414396885,638.907921653804,408203.332351983,cyto
76,1887,1285,8,206.766764274067,156.732799541557,50,60,72,84,120,140,0,0.033707865168539,0.213483146067416,0.51685393258427,1120.92274925159,499.371157018945,249371.55246244,cyto
44,1082,19,156,60.2969489005328,65.8032358802014,58,125,131,151,168,185,0,0,0.083333333333333,0.083333333333333,1503.5093866586,614.222579787264,377269.377520522,nuc
73,1928,1653,55,56.5865214974886,61.9874591099146,28,38,50,64,84,106,0,0.12280701754386,0.473684210526316,0.964912280701754,1192.44509894042,521.449288880702,271909.36087419,nuc
38,944,1394,75,48.1599894088514,68.1851254785773,23,35,45,55,91,108,0.034090909090909,0.113636363636364,0.363636363636364,0.886363636363636,944.099693742753,415.447923328635,172596.976998076,nuc
86,2126,325,38,119.585626932028,120.826674843183,31,45,52,79,112,144,0.037735849056604,0.075471698113208,0.283018867924528,0.547169811320755,1556.2115422632,649.758789168025,422186.484101098,cyto
27,733,2179,1,86.6702834643615,119.541297360853,38,44,49,56,80,98,0,0.057692307692308,0.519230769230769,1.21153846153846,1270.93430578592,602.289027274179,362752.072374876,cyto
4,196,1506,47,68.5315450751075,114.405800200124,31,55,61,70,101,122,0,0.054545454545455,0.309090909090909,0.727272727272727,1271.78371572678,622.932495009231,388044.893338426,cyto
7,20,471,21,101.990115410715,102.768696607195,40,45,48,73,108,142,0.015151515151515,0.075757575757576,0.272727272727273,0.575757575757576,1592.16618332159,693.741304851827,481276.998057515,nuc
86,2113,358,8,140.189536996165,128.552773640726,32,40,50,72,99,127,0,0.113207547169811,0.358490566037736,0.660377358490566,1529.56960102969,645.691495448879,416917.50729501,cyto
100,2594,277,3,86.0239237493221,54.7799914711488,27,34,34,44,81,91,0,0.166666666666667,0.416666666666667,1.16666666666667,1886.35874424145,699.568286154308,489395.786992876,nuc
3,26,2619,27,40.4997185211442,48.8906012644209,18,18,39,46,52,88,0.1,0.2,0.7,1.3,1891.4667529562,706.060957139857,498522.07519725,nuc
50,1233,308,26,112.380850895879,115.476019828324,54,71,83,114,163,202,0,0.040322580645161,0.129032258064516,0.258064516129032,1286.80878755142,567.581680698555,322148.964264597,nuc
50,1199,262,44,159.380116776516,157.943828639037,53,69,86,104,169,210,0.016129032258065,0.032258064516129,0.129032258064516,0.32258064516129,1317.35644108691,576.912059859403,332827.52481122,nuc
29,774,294,15,107.498621944587,115.2632930409,31,38,41,49,82,107,0.020833333333333,0.145833333333333,0.479166666666667,0.979166666666667,1334.87900061198,618.405953907498,382425.923828243,cyto
20,394,2562,10,146.764635359688,120.890223612135,36,48,63,82,133,180,0,0.05,0.233333333333333,0.416666666666667,1658.23356768451,683.795274385782,467575.977272327,cyto
94,2557,661,11,139.990397418375,143.786940296151,43,58,70,84,129,164,0.024691358024691,0.049382716049383,0.234567901234568,0.45679012345679,1684.9945898754,685.871424074413,470419.610361863,cyto
7,20,497,21,98.2550773359386,107.232427952722,26,41,49,75,110,143,0.015151515151515,0.090909090909091,0.257575757575757,0.53030303030303,1579.55198270003,692.171771705216,479101.761545538,nuc
2,24,1693,25,27.5029750076679,41.3028049587905,22,31,37,47,74,82,0,0.206896551724138,0.689655172413793,1.27586206896552,1432.47130761423,658.909107556853,434161.212021368,nuc
36,852,411,13,100.41979543599,92.0031246858792,36,51,57,77,100,128,0.011627906976744,0.081395348837209,0.27906976744186,0.662790697674419,1241.44355573037,588.125145352006,345891.186595318,nuc
73,1784,1678,8,98.7134991662569,87.6477193625162,42,46,52,70,83,109,0,0.035087719298246,0.403508771929825,0.947368421052632,1130.14389999046,489.169936417001,239287.226694213,nuc
86,2143,288,74,103.889432200242,122.25852863793,41,56,66,83,126,152,0,0.037735849056604,0.226415094339623,0.471698113207547,1587.98288875573,654.255572190442,428050.353742242,cyto
18,398,1911,27,101.40650383653,42.6604675435704,28,49,63,76,109,129,0.018691588785047,0.074766355140187,0.299065420560748,0.626168224299065,1263.47868834813,623.536801535266,388798.142868829,nuc
50,1161,248,68,182.120646764263,177.227423514836,52,65,74,106,165,218,0,0.032258064516129,0.169354838709677,0.314516129032258,1326.36734818543,581.236107194593,337835.412306725,nuc
53,1195,1021,53,111.109662827379,96.0574413725534,37,57,65,85,112,142,0,0.052173913043478,0.226086956521739,0.565217391304348,955.843155802416,402.652272198519,162128.85230663,nuc
6,19,258,20,78.5698012914134,100.663686478523,31,50,70,81,126,146,0.020833333333333,0.083333333333333,0.229166666666667,0.458333333333333,1709.04402562858,703.029866030921,494250.992531455,cyto
